Auction,VehicleAge,Make,Model,Color,WheelType,VehOdo,Size,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNST,VehBCost,WarrantyCost,BYRNO
1,6,14,534,13,1,78371,8,5305,5811,8062,8726,4439,5274,7682,8376,7,6200,986,18111
1,3,25,415,12,1,51474,6,6244,7439,10432,11844,6236,7336,10342,12166,7,7400,1003,52117
1,1,7,910,3,1,79511,6,10340,12628,15118,17575,11477,13624,15586,17844,7,8000,1506,18880
1,4,7,652,4,1,76246,11,7678,8916,12085,13534,8391,9414,11754,13177,7,8400,803,18880
1,5,16,780,5,0,40886,7,14227,15904,18937,20962,14227,15904,18937,20962,7,13800,764,18111
1,3,4,458,9,0,75827,6,5572,6706,9321,10982,5572,6706,9321,10982,7,6600,803,18111
1,3,4,478,8,1,84840,3,6412,7685,10105,12087,7350,8726,10462,12209,7,6800,2152,18111
1,7,6,880,12,1,83079,6,1911,3074,4514,5769,1691,2041,4240,4597,7,3800,1543,18111
1,3,6,884,13,1,89737,6,5080,6024,8592,9453,4902,5529,8425,8930,7,4200,1503,18880
1,5,4,621,3,1,61606,3,3881,5001,7484,8617,4566,5511,7998,9016,7,6600,1703,18111
1,5,26,497,7,2,88438,6,3144,4124,5894,7213,3376,4375,6525,7807,7,3700,853,18111
1,2,4,953,13,1,84569,7,12915,15308,17377,19036,13837,15634,19103,20690,7,7900,2152,18880
1,5,4,557,5,2,69108,6,2908,4168,5925,7407,2290,3228,5351,6700,7,4200,1020,18880
1,3,29,384,13,2,64068,6,3722,4662,6917,7922,3556,4714,6629,8766,7,5050,533,18880
1,3,30,143,13,2,81908,6,7921,9076,11787,13047,8073,9477,11700,13274,7,7800,594,18880
1,3,6,880,13,1,82959,6,4268,5269,7229,8271,5116,6138,7862,9432,7,5600,1243,18111
1,1,4,488,13,2,78070,3,8047,9303,11833,13365,8054,9363,11578,13488,7,7900,1974,52117
1,4,4,904,5,1,61784,4,9739,11449,15711,17175,9582,11368,14015,16349,7,9600,1411,18111
1,1,4,565,13,1,70491,6,11252,12391,15634,16787,10789,12211,14044,15604,7,8800,1272,18880
1,3,4,458,9,1,68491,6,5896,7210,9889,11848,6535,7726,10671,11738,7,6700,728,18880
1,3,14,205,13,1,77572,4,11939,13616,16108,18022,12272,13971,16371,18169,7,7800,1857,18880
1,2,6,551,7,1,57569,10,8085,9218,12828,13891,8794,9910,12990,14001,7,8500,1086,18880
1,2,4,488,12,1,58938,3,7747,9111,11193,13000,9051,10523,12902,14267,7,7300,1500,18880
1,4,6,171,5,1,74571,12,5346,7057,10009,12559,6006,7630,10034,12081,7,5800,1623,18880
1,5,4,478,2,1,71195,3,4971,6548,8627,10743,5802,7240,9754,11852,7,7100,2208,18881
1,5,25,428,3,1,85255,6,2940,3747,5974,6850,3413,4291,6758,7875,7,4500,1633,18881
1,3,6,171,3,1,70211,12,7196,9872,11496,14449,8535,10746,12512,14569,7,6500,1623,18881
1,4,6,880,14,1,81994,6,3377,4450,6311,7457,3769,4740,7027,7801,7,4500,1243,18881
1,3,4,196,2,1,76194,1,4506,5511,8061,9118,4356,5311,7664,8770,7,5500,803,18881
1,2,6,184,7,1,67247,10,10169,11123,13975,15314,10883,12057,14927,15801,7,10100,1215,18881
1,6,5,719,6,1,56023,6,3322,4130,6423,7739,4014,4944,7100,7857,7,5000,1086,18880
1,5,6,663,13,1,56752,1,3009,4077,6250,7594,3119,4021,6667,8595,7,4700,588,18880
1,3,5,719,12,1,68707,6,5257,6245,8452,9877,5690,6677,9332,10090,7,5200,1215,18880
1,4,4,109,12,2,77418,1,3753,4541,7374,8363,3574,4504,6926,7969,7,4300,803,8172
1,3,6,138,12,1,57218,6,6978,8361,10882,12112,7255,8415,11259,12357,7,6800,754,8172
1,3,4,196,3,1,61429,1,6432,7613,10060,11585,5584,6651,9074,10238,7,5400,728,18881
1,3,18,596,3,1,74460,6,8965,10322,13559,14701,9524,10803,13402,14431,7,6600,1272,18881
1,3,25,411,13,1,72302,6,6863,7716,10522,11615,8460,9526,11859,12939,7,6850,1038,8172
1,8,7,351,12,1,98571,5,2985,4077,6025,7600,3511,4342,6781,7615,7,5000,920,18881
1,4,15,861,12,1,65560,6,4557,5419,7855,9025,5223,6228,8587,9818,7,5400,533,18881
1,3,15,861,12,1,73827,6,5454,6447,8948,10077,6386,7350,9731,10813,7,6100,569,18881
1,6,6,884,14,1,65679,6,2303,3097,5664,6598,2413,3376,5653,6781,7,5000,1215,18881
1,6,7,652,13,1,68121,11,4694,5708,8479,9592,5052,6268,8516,9851,7,6800,728,8172
1,3,5,719,13,1,63291,6,5362,6431,8923,10158,5690,6677,9332,10090,7,4700,1215,18881
1,3,4,478,7,1,69852,3,6693,7688,10183,11417,8318,9560,11701,13142,7,7900,1703,18881
1,4,25,442,14,1,67365,3,6036,7328,9583,11292,6370,7852,10582,13044,7,7100,1703,18111
1,4,4,196,5,1,69647,1,4497,5428,7827,8905,4577,5533,8302,9238,7,5500,728,18881
1,7,4,985,5,1,89311,12,2429,3651,6239,9377,3427,4572,6751,7883,7,4100,5392,18111
1,5,14,534,2,1,69636,8,5741,6901,8921,10636,6194,7706,9596,11270,7,6800,630,18111
1,4,4,478,7,1,84471,3,6509,7655,10373,11837,7350,8726,10462,12209,7,6900,2152,18111
1,3,25,442,7,1,87931,3,7115,8319,11020,13205,8270,10097,11800,13969,7,6500,2152,18111
1,3,5,813,3,1,50558,6,6862,8044,10457,11647,7449,8859,10734,12300,7,6500,920,18881
1,3,5,937,3,2,61513,12,6090,7437,9405,11595,8742,10718,14559,17850,7,6600,1411,18881
1,7,17,659,13,1,73022,4,8488,10246,12742,14224,10206,11329,13659,14332,7,10600,1338,18111
1,4,4,196,2,1,55381,1,5431,6610,8909,10274,5610,6689,9716,11584,7,6200,671,18111
1,3,4,980,3,1,79940,12,6610,7880,10613,12652,6385,7420,10340,11519,7,6600,2091,18881
1,4,15,856,6,0,56288,7,7618,9450,11697,13448,7618,9450,11697,13448,7,8000,1334,18881
1,8,7,910,13,1,69864,6,2123,2979,5072,6125,2666,3767,5428,6751,7,3500,1125,18111
1,4,7,366,2,1,82496,3,7101,8768,11132,13068,7098,8370,10712,12130,7,7200,1633,18881
1,8,5,719,13,2,89733,6,2410,3122,5765,7469,2683,3377,5252,6084,7,3800,1803,18111
1,3,7,366,6,1,83466,3,8781,10934,12645,15133,9203,11047,13009,14755,7,7200,1633,18881
1,5,19,795,5,1,71437,6,3682,4712,7025,8216,3286,4367,6472,7909,7,5000,920,18881
1,4,7,910,13,1,92634,6,3987,5039,7634,8842,4152,5217,7692,8689,7,4200,1053,18111
1,4,11,846,11,1,68735,6,6364,7533,9483,11125,6164,7134,9420,10875,7,7600,728,18111
1,5,25,432,13,1,92929,6,3316,4331,6543,7850,3428,4394,7053,8074,7,4100,2639,18881
1,5,14,534,13,1,89803,8,5741,6901,8921,10636,6194,7706,9596,11270,7,6100,723,18881
1,5,14,437,14,1,73551,7,7792,9146,11424,12814,8848,10227,11999,13643,7,9200,1740,18111
1,3,25,415,13,1,71240,6,7636,8817,12078,13320,8265,9546,12557,13754,7,7200,1272,8172
1,5,25,993,9,1,60592,6,5332,6632,9151,11925,6080,7250,9015,10070,7,6700,533,8172
1,5,6,880,6,1,66159,6,3691,4870,7021,8332,3772,4615,6538,8000,7,5000,1020,18881
1,5,5,719,1,2,50005,6,3945,4988,7497,8595,4257,5279,7932,8882,7,5200,1086,8172
1,4,7,327,13,0,69232,8,8137,10366,11903,14521,8137,10366,11903,14521,7,7100,1215,8172
1,4,8,162,6,0,79751,9,5711,6898,9950,10857,5711,6898,9950,10857,7,7500,686,8172
1,5,5,719,12,1,64034,6,5311,6350,8935,10029,4215,5168,8139,9211,7,6200,1313,8172
1,6,21,270,2,1,74741,11,5033,5944,9010,9825,6674,7899,10273,11331,7,6300,1038,8172
1,3,21,420,12,1,55900,6,7478,8595,11108,12265,7804,8912,11392,12148,7,7300,505,8172
1,7,4,565,13,2,82684,6,2352,3289,5147,7197,2831,3825,5932,6971,7,3700,2712,18881
1,2,6,254,2,1,66915,7,12201,13679,16299,18115,14235,15165,18745,19974,7,10400,1118,18881
1,6,4,173,13,1,73129,1,3088,4029,5886,6761,3299,4121,6285,6915,7,3600,1155,8172
1,7,4,950,3,1,57333,7,4759,5790,8767,9957,5621,6753,9003,10417,7,7200,1220,8172
1,6,6,880,5,1,64597,6,2756,3857,5829,8158,2873,3739,6029,7155,7,4400,1020,18881
1,4,4,980,6,2,85921,12,5005,5789,8840,10225,5098,6210,8886,10295,7,5500,2282,18881
1,3,21,420,1,2,52565,6,7478,8595,11108,12265,7915,9068,11440,12333,7,7400,505,18881
1,4,4,557,6,2,85640,6,6051,7310,10097,11234,6958,7983,10374,11329,7,6000,1113,18881
1,5,22,827,14,1,71054,1,4749,5807,8376,10106,4602,5344,7848,8768,7,5400,569,8172
1,3,5,937,3,2,57727,12,6350,7799,9800,12181,6798,8312,12471,15248,7,6500,1251,18881
1,6,5,686,12,1,82372,2,6839,8558,10865,13448,6751,8288,10108,11227,7,7300,2022,18881
1,4,5,689,6,1,83275,2,9840,11974,13315,15131,11256,13339,14048,15596,7,7500,1503,18881
1,5,21,289,8,1,74834,7,6802,7674,10647,11742,7634,8809,11635,12985,7,7500,920,8172
1,5,7,341,3,0,77226,7,7116,8913,11369,13139,7116,8913,11369,13139,7,7700,1155,8172
1,5,7,740,13,1,93854,9,3321,4094,6850,8445,4119,5253,7839,9224,7,4100,620,18881
1,4,5,719,14,2,68500,6,4743,5937,8327,9565,5418,6429,8649,9719,7,4700,1215,18881
1,6,25,442,13,0,90457,3,4074,5131,7592,8580,4074,5131,7592,8580,7,4100,2351,8172
1,3,6,138,13,2,88756,6,7217,8672,10995,12240,7813,9139,11787,13042,7,4900,983,18881
1,6,4,950,3,1,85322,7,5877,7204,9685,10995,6226,7518,9911,10938,7,5700,1243,18881
1,6,6,880,11,2,91458,6,2514,3632,5317,7682,2899,3772,5590,6856,7,4200,1341,18881
1,3,4,488,13,1,89457,3,8734,10537,12815,14825,9507,11126,13293,15596,7,8000,2152,18881
1,5,5,689,13,1,70325,2,5927,7237,9049,10880,6730,7931,9722,10989,7,7800,1389,18881
1,6,22,827,13,1,82829,1,3638,4515,6701,7736,3706,4643,6827,7994,7,5000,594,18881
1,3,29,384,13,2,69658,6,5077,5888,8537,9280,5424,6272,8885,10115,7,6000,533,8172
1,3,25,415,2,1,80506,6,7636,8817,12078,13320,9111,10361,12590,13881,7,6900,1373,18881
1,4,5,818,5,1,65100,6,5367,6872,9506,11254,5666,7128,9665,11229,7,5100,1118,18881
1,4,6,1,12,1,87437,5,10049,12363,14724,17184,11249,12793,15468,16863,7,9800,983,8172
1,8,32,126,3,1,82684,1,3975,4924,7267,8077,4502,5599,7682,8832,7,6000,1803,18881
1,2,5,813,1,2,52141,6,7794,8430,11343,12005,8476,9108,11614,13591,7,7400,920,8172
1,5,25,415,5,1,64881,6,5679,6921,9493,11264,6090,7025,9687,10839,7,6100,1118,18881
1,6,25,432,12,1,84982,6,3393,4404,6950,7921,3679,4541,6395,7247,7,4500,2412,18881
1,3,29,760,13,1,53395,1,5131,5989,8345,9039,5366,6225,8514,9102,7,5400,505,52117
1,3,6,667,14,1,55357,7,9890,11492,14067,15426,9786,11362,14025,15453,7,9400,588,18881
1,5,7,323,6,1,63001,8,5984,7171,9952,11292,6656,8060,10675,11961,7,7400,825,18881
1,4,25,442,3,1,89512,3,6611,8041,10345,12077,7580,9196,11031,12627,7,6900,2412,18881
1,4,6,880,14,1,84845,6,3924,5040,7203,8470,4965,5897,8577,10250,7,4650,1243,18881
1,3,4,196,2,0,48128,1,5474,6616,8954,10200,5474,6616,8954,10200,7,6000,623,52117
1,6,4,5,7,1,84717,5,5899,7304,9764,11609,6802,9090,10737,13268,7,6900,1243,18881
1,5,29,760,2,0,78883,1,3411,4146,6773,7336,3411,4146,6773,7336,7,4300,569,18881
1,4,7,910,5,1,82249,6,4096,5151,7639,8627,5015,6192,8235,9385,7,4800,983,8172
1,5,6,663,13,1,86466,1,3098,3933,6460,7593,3517,4577,6659,8218,7,4600,723,8172
1,7,18,596,12,1,79858,6,4541,5632,7785,8643,4146,5120,7326,8248,7,7300,1572,52117
1,5,4,310,13,1,70523,7,7296,9009,10920,13124,7832,9151,11474,12716,7,8300,1506,18881
1,3,7,395,5,1,85771,2,10407,12900,14916,17095,10652,12930,14398,16322,7,7900,1633,52117
1,2,6,104,7,1,51556,6,7976,8937,11879,12593,8676,9530,12186,13031,7,8300,920,18881
1,8,23,842,6,1,74388,12,1873,2798,4749,5867,2441,3144,5301,6046,7,4250,4922,18881
1,2,6,138,7,1,82099,6,7233,7865,11106,11603,8070,8609,11076,11685,7,7100,983,8172
1,5,11,281,2,1,60204,6,3941,4742,7028,8157,4129,4867,7206,7790,7,5500,533,18881
1,5,6,884,13,1,98473,6,3967,5518,7065,8524,4035,5557,7146,8702,7,4200,1630,18881
1,3,15,674,13,1,76557,6,6910,8061,10370,11310,6395,7123,9614,10708,7,6900,803,18881
1,3,6,171,5,1,79194,12,6418,7983,10740,12108,8158,10088,12268,14284,7,7500,1623,52117
1,4,6,884,6,1,88852,6,5497,6355,9036,9793,5786,6521,9119,9744,7,4600,1503,18881
1,5,4,312,2,1,62552,7,7373,9070,10946,12944,7572,9064,10694,12722,7,9000,1215,18880
1,5,6,171,2,1,66394,12,5653,7196,10983,13980,6006,7630,10034,12081,7,6900,1411,18880
1,6,4,956,6,1,72194,7,7154,8545,11222,12987,7441,9253,10894,12312,7,9100,1155,18880
1,2,6,104,13,2,60375,6,8133,9101,11809,12618,9084,9913,12348,13045,7,7500,1020,18880
1,4,5,937,3,2,85394,12,5493,6935,9305,10894,6774,8781,9994,12165,7,7600,1763,18880
1,5,29,760,2,1,79084,1,3209,4008,6631,7261,3700,4241,6582,6960,7,4500,569,18880
1,4,6,254,3,1,60722,7,9144,10597,12858,14182,9796,11053,13463,14727,7,8700,1118,18881
1,8,19,795,14,1,55964,6,2851,3826,5802,7064,3181,4394,5681,7072,7,5100,1054,18881
1,3,26,497,6,1,56837,6,5639,6691,9074,9997,6597,7542,10427,11920,7,5700,671,18881
1,8,7,323,12,1,80906,8,3359,4343,6154,7314,3840,4839,6663,7729,7,6150,1283,18881
1,4,26,497,13,1,71357,6,5065,6151,8046,9256,5112,6101,8097,9389,7,6000,803,18880
1,5,6,166,6,2,65997,12,3999,5141,7519,8951,4115,5189,7890,9015,7,5200,1411,18880
1,5,22,70,13,2,73907,6,6084,7107,9499,10684,6910,8292,10162,12026,7,8500,686,18881
1,3,4,196,12,1,73334,1,5224,6114,8757,9593,4702,5431,7617,8797,7,5200,803,18880
1,5,5,818,7,1,85081,6,3410,4184,7653,8374,3644,4407,7249,8155,7,5300,1373,18881
1,5,18,958,13,0,86611,8,5826,7430,9044,10711,5826,7430,9044,10711,7,6800,983,18880
1,5,26,511,3,0,67807,6,4494,5627,8009,8987,4494,5627,8009,8987,7,4000,1898,18880
1,3,6,138,7,2,68437,6,6958,8145,10477,11576,6879,8211,10846,11850,7,6500,825,18881
1,7,2,179,5,1,69276,6,3133,4225,5759,7031,3736,5048,6339,8062,7,4100,2003,18880
1,4,14,437,2,1,77608,7,11406,13015,14788,15868,12017,13589,15639,17448,7,9600,1740,18880
1,4,11,850,7,1,66809,6,6906,8351,10183,11885,7126,8430,10391,11889,7,8300,728,18880
1,4,25,442,14,0,72930,3,7389,8958,10898,12749,7389,8958,10898,12749,7,7900,2208,18111
1,2,6,104,7,2,63066,6,8261,9213,11909,12739,8814,9655,12322,13155,7,7700,1020,18111
1,3,7,369,14,1,71889,1,5921,7126,9317,10472,5801,7454,9464,10515,7,6400,1155,18880
1,6,25,896,13,1,49782,1,3007,3911,5931,7714,3227,4428,6331,7106,7,4700,834,18880
1,6,5,813,13,1,81610,6,3420,4236,7522,9316,3545,4394,8049,9977,7,4100,1243,18111
1,4,14,203,3,0,67287,4,12275,13821,16563,18299,12275,13821,16563,18299,7,10600,1508,18111
1,5,6,551,14,2,76421,10,6583,7934,10440,11863,6838,8169,11043,12131,7,8400,1389,18111
1,4,5,689,3,1,69429,2,10729,12859,14039,15892,10297,12591,14105,15755,7,9300,1215,18111
1,5,5,719,13,2,65829,6,4159,5137,7621,8954,4463,5391,8027,9298,7,5400,1215,18880
1,4,5,719,3,1,52495,6,5277,6334,9148,10275,5486,6629,8802,10636,7,6100,1086,18111
1,4,29,760,13,2,53257,1,3716,4909,7076,10711,4037,5150,7287,8159,7,4700,505,18880
1,4,5,719,5,1,25421,6,5277,6334,9148,10275,5551,6699,8670,9829,7,6000,882,18880
1,5,22,827,3,2,88734,1,4456,5483,7698,8978,4285,5233,7074,8041,7,5700,594,18111
1,4,7,369,5,2,90002,1,4937,5952,8524,9213,5428,6570,8701,9864,7,4100,1341,18880
1,5,5,818,14,1,63050,6,4428,5689,8312,9683,5479,6725,9228,10435,7,5100,1118,18880
1,3,4,565,5,1,71218,6,7354,8793,11219,12994,7605,9143,11286,12985,7,7400,1272,18880
1,5,6,256,12,2,56662,7,6488,7767,10830,11902,6625,7620,11265,12077,7,9100,1086,18880
1,5,25,415,3,1,87727,6,6797,8262,10327,12165,6559,7913,9450,11116,7,8200,1373,18111
1,7,4,944,3,1,75377,8,3770,4933,7093,8605,4409,5576,7775,9213,7,5800,1455,18111
1,3,6,138,13,2,66538,6,7102,8216,10535,11573,7330,8488,10868,11912,7,6100,825,18880
1,6,5,813,5,1,56747,6,4398,5371,9666,11804,4318,5446,9064,11431,7,6000,920,18881
1,5,4,950,8,1,74558,7,7419,8761,11551,13246,7018,8061,10385,11928,7,8600,1155,18880
1,6,25,442,2,1,88905,3,4624,5682,7556,8694,4482,5541,7374,8598,7,6800,2152,18880
1,5,6,663,3,2,53508,1,3522,4543,6666,8168,3833,4785,6647,7778,7,4500,588,18880
1,5,7,369,6,1,83852,1,3781,4676,6921,7991,4073,5161,7077,8179,7,5200,1243,18880
1,4,7,910,3,1,80508,6,4456,5593,7793,9327,4289,5697,7874,8979,7,4800,983,18881
1,3,25,415,14,1,63452,6,8658,9900,12334,13508,9198,10481,12880,13953,7,8800,1118,18880
1,3,4,950,7,1,87149,7,12120,14499,16301,18469,13394,14788,17228,18284,7,8600,1243,18881
1,5,5,719,5,1,57898,6,4222,5252,7706,8974,4214,5325,7728,8868,7,6100,1086,18880
1,4,4,478,2,2,81827,3,7079,8082,10592,11668,7316,8310,10715,11877,7,7500,2152,18880
1,4,4,96,3,1,83491,5,14611,16939,19358,21248,14535,17535,19162,21461,7,11400,1373,18880
1,6,8,302,2,1,81890,7,7988,9294,11882,13103,8601,9748,12194,13283,7,9300,1243,18880
1,4,5,18,3,1,79203,10,9708,11204,13599,15012,10333,11838,14308,16028,7,9200,1389,18880
1,3,25,415,12,1,82808,6,8658,9900,12334,13508,8897,10258,12225,13683,7,8000,1373,18881
1,6,4,950,13,1,69597,7,6190,7461,9883,10893,6620,7984,9950,11360,7,8500,1020,18881
1,7,14,436,14,0,57311,7,5412,6625,8352,9470,5412,6625,8352,9470,7,7200,1634,18880
1,5,4,196,12,0,61106,1,4518,5597,7198,8598,4518,5597,7198,8598,7,5600,728,18880
1,5,5,18,11,1,83449,10,8542,9918,12402,14049,7984,9425,11326,13084,7,9200,1503,18880
1,5,6,260,14,1,74829,7,9724,11974,13778,15849,9509,11172,13693,15148,7,10700,1623,18880
1,6,7,337,3,1,65763,4,6813,7983,7858,9122,7579,8483,8685,9662,6,9500,1223,20740
1,5,4,5,7,2,77830,5,4817,6137,5702,7128,4512,5904,5373,6876,6,6700,1272,20928
1,3,15,869,3,1,56112,8,6443,7421,7458,8515,7039,8346,8102,9514,6,6300,754,20928
1,4,14,535,2,1,72750,8,7997,9334,9137,10581,8376,9938,9546,11233,6,6800,686,20740
1,4,11,47,7,2,47901,1,2891,3941,3622,4756,3512,4605,4293,5473,6,4100,693,20928
1,3,22,930,7,1,77751,5,13863,16382,15472,18193,13663,15656,15256,17408,6,9100,1272,20928
1,6,4,905,7,2,80349,4,6841,8063,7888,9208,7514,8746,8615,9946,6,9100,2063,20740
1,4,6,255,8,0,79939,7,6818,8690,7863,9885,6818,8690,7863,9885,6,8000,1272,20740
1,3,6,183,2,2,54996,10,8909,10235,10122,11554,9777,11040,11059,12423,6,10400,1086,20740
1,5,7,346,6,2,76981,7,8784,10641,9987,11992,9777,11713,11059,13150,6,9500,1740,20740
1,5,7,342,14,0,74872,7,4773,5793,5655,6756,4773,5793,5655,6756,6,6400,1155,20740
1,5,14,436,3,1,75864,7,5542,6583,6485,7610,6207,7257,7204,8338,6,6500,1740,20928
1,3,4,981,13,2,59795,12,7165,8762,8238,9963,7568,8954,8673,10170,6,6100,1583,20928
1,3,25,445,14,2,61729,3,6587,7845,7614,8973,7150,8483,8222,9662,6,7300,1703,20740
1,4,6,552,14,2,59841,10,6805,7880,7849,9010,6653,7714,7685,8831,6,8500,1086,20928
1,3,11,852,11,1,71457,6,6657,8060,7690,9205,8766,10449,9967,11785,6,6800,803,20740
1,4,6,251,14,2,76658,9,7906,9501,9038,10761,8825,9840,10031,11127,6,7100,1506,20740
1,3,6,257,13,1,65864,7,9373,10754,10623,12114,10869,12567,12239,14072,6,9700,1215,20928
1,5,5,690,3,3,71146,2,6337,7322,7344,8408,6704,7703,7740,8819,6,8200,1389,20740
1,4,6,258,2,1,69865,7,9792,11590,11075,13017,10613,12260,11962,13741,6,10200,1215,20928
1,4,25,445,7,2,84858,3,5713,6960,6670,8017,6026,7303,7008,8387,6,5300,2152,21973
1,5,6,251,13,1,78619,9,6584,7856,7611,8984,7021,8899,8083,10111,6,8400,1506,21973
1,6,7,374,13,1,80638,1,2936,4028,3671,4850,2177,3103,2851,3851,6,4100,1543,21973
1,5,4,479,5,2,89895,3,4105,5280,4933,6202,4350,5414,5198,6347,6,5300,2152,21973
1,5,6,882,7,2,72877,6,3191,4194,3946,5030,3125,4092,3875,4919,6,4100,1155,21973
1,4,15,860,7,0,56610,7,5917,6913,6890,7966,5917,6913,6890,7966,6,7200,1417,21973
1,6,17,660,13,1,72269,4,9535,10843,10798,12210,10289,11655,11612,13087,6,10000,1338,21973
1,5,4,954,7,1,85179,7,6363,7908,7372,9041,6839,8297,7886,9461,6,6300,2152,21973
1,5,6,665,2,2,58609,1,2983,3786,3722,4589,3134,4058,3885,4883,6,3800,588,21973
1,4,7,911,14,1,70247,6,4806,5939,5690,6914,4569,5684,5435,6639,6,4505,920,21973
1,3,7,656,13,1,44056,11,9841,11129,11128,12519,10327,11730,11653,13168,6,9160,623,21973
1,2,29,386,13,2,24946,6,5667,6367,6620,7376,6080,6960,7066,8017,6,6300,462,19619
1,4,4,313,13,1,65139,7,7687,9068,8802,10293,8298,9918,9462,11211,6,7700,1215,19619
1,4,6,257,14,2,65061,7,8295,9780,9459,11062,8687,10005,9882,11305,6,8600,1215,19619
1,4,6,257,13,2,79120,7,8295,9780,9459,11062,6150,7417,8866,10258,6,9200,1389,19619
1,2,15,864,3,2,22213,6,5155,6721,6067,7759,5797,6480,6761,7498,6,6000,462,19619
1,7,21,633,5,0,58753,7,4184,5250,5019,6170,4184,5250,5019,6170,6,6200,1220,19619
1,7,26,513,3,1,36919,6,3208,4221,3965,5059,2156,2742,2828,3461,6,4900,1241,19619
1,6,4,951,14,1,78650,7,5387,6468,6318,7485,5297,6261,6221,7262,6,7100,1455,19619
1,4,4,560,13,0,61558,6,5447,6688,6383,7723,5447,6688,6383,7723,6,5800,923,19619
1,2,29,386,3,2,14406,6,5667,6367,6620,7376,6105,6950,7093,8006,6,6400,462,19619
1,3,7,389,7,2,50455,12,3012,4728,3753,5606,6004,6955,6984,8011,6,5400,1169,19619
